id,campaign_id,type,date,label
beaceb7c-245d-48a0-8117-628aaa7cbb51,a61aa7f0-3909-4323-81e1-ae1d9a8165fe,comp,2026-07-10T05:00:00.000Z,Comp/proof due
4148ed5f-3f1a-413e-8a37-97dc9d8936f9,303b02b5-9acb-4585-ab1d-c5f6f6babe17,launch,2026-07-21T05:00:00.000Z,Day 3 + winner
b0ebf036-8f65-4589-8acb-45f04e9479fd,303b02b5-9acb-4585-ab1d-c5f6f6babe17,comp,2026-07-11T05:00:00.000Z,Comp/proof due
21b7cdfa-93a5-4cef-885a-9e860c1c6704,14c4d982-ea91-4b94-9a29-808fb14c61b9,launch,2026-07-22T05:00:00.000Z,Email send
3497cbda-19ef-435b-81c9-f4e35a7fe143,14c4d982-ea91-4b94-9a29-808fb14c61b9,comp,2026-07-12T05:00:00.000Z,Comp/proof due
5ea1611a-6a41-4063-a6c0-3fb9dd6fb724,60f92db8-4710-4e99-8e62-201b8ab4c2f9,launch,2026-07-22T05:00:00.000Z,Recap
66bfed28-1a73-46a7-9cdf-2569f50c7702,60f92db8-4710-4e99-8e62-201b8ab4c2f9,comp,2026-07-12T05:00:00.000Z,Comp/proof due
9c2760e4-9d0e-4328-adb2-57a7edb54198,799f9dd5-97a6-4196-8bbf-cd0f79fd213d,launch,2026-07-27T05:00:00.000Z,Value carousel
f68f0861-4cb5-40a4-b3f2-06fef97d2db4,799f9dd5-97a6-4196-8bbf-cd0f79fd213d,comp,2026-07-17T05:00:00.000Z,Comp/proof due
c74bae07-54f7-4d5e-a2da-5baed4e401b2,72ae2533-c0af-4787-944c-a3872a185aca,launch,2026-07-29T05:00:00.000Z,Email send
59fccf11-bb68-4742-bc04-6a782baebcb9,72ae2533-c0af-4787-944c-a3872a185aca,comp,2026-07-19T05:00:00.000Z,Comp/proof due
52ce7621-6a4d-42bb-a126-c31507722627,a93e3356-9a08-47b5-8412-d306b04b0e28,launch,2026-08-12T05:00:00.000Z,Email send
16b398ab-32a1-4ef8-b140-4945a5843ef7,a93e3356-9a08-47b5-8412-d306b04b0e28,comp,2026-08-02T05:00:00.000Z,Comp/proof due
